n,mean,increment,support_end,dominance_active_count,monotone_active_count,active_signature,signature_changed,tail_l1_move,solver_method,max_constraint_violation,d2_l1,d3_l1,d4_l1,d4_l2sq,tail_entropy,second_moment,third_moment
61,1.7920287484780153,0.01384997011287692,7,128,120,332e0693b76899bbd8d2,True,0.01384997011287691,highs,0.0,0.6331016996270029,0.5283000391070027,0.7051288432223857,0.14605220275561295,1.7985786759195441,4.304730648581988,11.871100404700027
62,1.805737712345075,0.013708963867059554,7,128,120,332e0693b76899bbd8d2,False,0.01370896386705974,highs,0.0,0.6304658683333014,0.5152941984594354,0.699223045248246,0.13898685669023608,1.8098066916047904,4.3666287188243205,12.122060649866757
63,1.8193047948390164,0.01356708249394134,7,128,120,332e0693b76899bbd8d2,False,0.013567082493941505,highs,0.0,0.6278194442364627,0.502530039645642,0.6932323481183486,0.13252705953873536,1.8208358551007975,4.428232471192379,12.373341551927101
64,1.8327294902331137,0.013424695394097075,7,128,120,332e0693b76899bbd8d2,False,0.013424695394097283,highs,1.6653345369377348e-16,0.6251679751632279,0.490006942227839,0.687176601984229,0.12663885482145312,1.8316666254708822,4.489524491816176,12.624836611537967
65,1.846011606920837,0.013282116687723056,7,128,120,332e0693b76899bbd8d2,False,0.01328211668772323,highs,6.938893903907228e-18,0.6225161654134966,0.48263207589348905,0.6810728880809281,0.12128939678071007,1.8423002628430718,4.550489759482434,12.87644921874545
66,1.859151219805299,0.01313961288446186,7,128,120,332e0693b76899bbd8d2,False,0.013139612884461816,highs,6.938893903907228e-18,0.6198679962780287,0.4849440576475901,0.6749358339561552,0.11644703201951853,1.8527387049484816,4.611115358392382,13.12809197881349
67,1.8721486295142058,0.012997409708906948,7,128,120,332e0693b76899bbd8d2,False,0.012997409708906853,highs,8.470329472543003e-22,0.6172268327965502,0.4871084519237042,0.6687779391918122,0.11208136740918132,1.862984467668452,4.671390235004752,13.379686160522635
68,1.8850043275347217,0.012855698020515893,7,128,120,332e0693b76899bbd8d2,False,0.012855698020516174,highs,0.0,0.6145955153475691,0.48913305743382973,0.6626098703059514,0.1081633154232691,1.8730405657681197,4.731304993501077,13.631161273799114
69,1.897718966441569,0.012714638906847098,7,128,120,332e0693b76899bbd8d2,False,0.01271463890684708,highs,1.1102230246251565e-16,0.6119764375229384,0.49102518108856796,0.6564407178002932,0.10466511919170597,1.8829104504340928,4.790851725002944,13.882454771541624
70,1.9102933344967277,0.01257436805515888,7,128,120,332e0693b76899bbd8d2,False,0.01257436805515862,highs,0.0,0.6093716122218185,0.4927917077000231,0.6502782174306423,0.10156036157445289,1.8925979609068642,4.850023866402321,14.133511869244515
71,1.922728333999793,0.01243499950306548,7,128,120,332e0693b76899bbd8d2,False,0.012434999503065477,highs,1.1102230246251565e-16,0.6067827277690526,0.49443916374351565,0.6441289398019835,0.09882396229737302,1.9021072881024352,4.9088160853609555,14.384285477590284
72,1.935024962857423,0.012296628857629832,7,128,120,332e0693b76899bbd8d2,False,0.012296628857629738,highs,0.0,0.60421119561105,0.4959737760389667,0.6379984524692908,0.09643216652095786,1.9114429485988824,4.967224188656944,14.634736245418777
73,1.9471842989177823,0.012159336060359571,7,128,120,332e0693b76899bbd8d2,False,0.012159336060359635,highs,1.1102230246251565e-16,0.6016581908966611,0.4974015262413726,0.6318914583180929,0.09436252758574727,1.9206097677339806,5.025245051606894,14.88483271280509
74,1.9592074866827063,0.012023187764923948,7,128,120,332e0693b76899bbd8d2,False,0.012023187764923844,highs,0.0,0.5991246870381608,0.49872820203107493,0.6258119135094315,0.09259388618149259,1.92961287084362,5.082876566781366,15.134551576279
75,1.971095726067674,0.011888239384967969,7,128,120,332e0693b76899bbd8d2,False,0.011888239384967789,highs,5.551115123125783e-17,0.5966114851706739,0.49995944588218144,0.619763127813647,0.09110634781662554,1.9384576818898203,5.140117610670342,15.383878070503258
76,1.982850262929117,0.011754536861442677,7,128,120,332e0693b76899bbd8d2,False,0.01175453686144309,highs,0.0,0.5941192392815434,0.5011008022730341,0.6137478497471507,0.08988126019705467,1.9471499288982632,5.196968027355403,15.632806473037995
77,1.994472381121119,0.011622118192001762,7,128,120,332e0693b76899bbd8d2,False,0.011622118192001731,highs,0.0,0.5916484776596599,0.5021577641905199,0.6077683385696884,0.08890119193990818,1.955695655760437,5.2534286286156275,15.881340741202502
78,2.0059633958802965,0.011491014759177798,7,128,120,332e0693b76899bbd8d2,False,0.011491014759177512,highs,4.336808689942018e-19,0.5891996212135101,0.5031358197753679,0.6018264248893079,0.08814991393314789,1.9641012400624813,5.3095012102435755,16.129495292554488
79,2.017324648369439,0.011361252489142437,7,128,120,332e0693b76899bbd8d2,False,0.011361252489142416,highs,0.0,0.5867729991223262,0.5040404999605591,0.5959235613532998,0.08761238459680634,1.9723734166863987,5.365188584684232,16.37729594319135
80,2.0285575012380717,0.011232852868632737,7,128,120,332e0693b76899bbd8d2,False,0.011232852868633288,highs,1.1102230246251565e-16,0.5843688622139654,0.5048774279719457,0.5900608646700147,0.08727474030060711,1.9805193069922769,5.420494630440667,16.62478102099255
81,2.0396633350822,0.01110583384412811,7,128,120,332e0693b76899bbd8d2,False,0.011105833844127787,highs,0.0,0.5819873944036668,0.5056523715908524,0.5842391500024819,0.08712429224392311,1.9885464534332276,5.475424359022771,16.87200267412239
82,2.0506435457066017,0.01098021062440191,7,128,120,332e0693b76899bbd8d2,False,0.010980210624401666,highs,0.0,0.5796287224777615,0.5063712991240111,0.5784589585967409,0.08714953120916112,1.9964628594775713,5.529984000556514,17.11902839865946
